balance_scope,class_name,row_count,fraction
all,expression_only,3763,0.5873263617917902
all,compressed_context,0,0.0
all,full_context,3,0.00046823786483533636
all,abstain_uncertain,2641,0.41220540034337444
trainable,expression_only,2470,0.5795401220084467
trainable,compressed_context,0,0.0
trainable,full_context,3,0.0007038948850305022
trainable,abstain_uncertain,1789,0.41975598310652273
replication,expression_only,1293,0.6027972027972028
replication,compressed_context,0,0.0
replication,full_context,0,0.0
replication,abstain_uncertain,852,0.3972027972027972
dataset:cosmx_6k_bcc_yerly_2024,expression_only,1067,0.5592243186582809
dataset:cosmx_6k_bcc_yerly_2024,compressed_context,0,0.0
dataset:cosmx_6k_bcc_yerly_2024,full_context,0,0.0
dataset:cosmx_6k_bcc_yerly_2024,abstain_uncertain,841,0.44077568134171907
dataset:not_recorded,expression_only,2696,0.5992442765058902
dataset:not_recorded,compressed_context,0,0.0
dataset:not_recorded,full_context,3,0.0006668148477439431
dataset:not_recorded,abstain_uncertain,1800,0.40008890864636587
