source_label,source_dataset,split,sample_id,fov_id,cell_type,pathway,target_family,reference_count,passed_reference_count,negative_reference_count,min_unit_target_count,min_unique_unit_count,max_q_value,min_mean_delta,max_mean_delta,route_label,label_usage,training_eligible,leakage_risk,label_reason,stratum_key
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,adhesion,pathway_module,4,0,0,195,195,0.8459218050211159,-0.001382814230534599,-0.0003567515047412338,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|adhesion|pathway_module
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,adhesion,receptor,4,0,1,195,195,0.9430919748679683,-0.0007367769481177846,0.0009982811421363172,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|adhesion|receptor
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,angiogenesis,pathway_module,4,0,0,195,195,0.7981948643813043,-0.0006202178222903576,-0.0002230881474500723,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|angiogenesis|pathway_module
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,angiogenesis,receptor,4,0,1,195,195,0.9114045434717448,-0.0005791286052964046,2.8206416521543995e-05,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|angiogenesis|receptor
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,chemokine,pathway_module,4,0,2,195,195,0.9720068141372981,-0.00016963328923511089,0.00035707280381279513,expression_only,replication_only,False,replication_only,true_neighbor does not improve over references,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|chemokine|pathway_module
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,chemokine,receptor,4,0,4,390,195,0.9868985283112915,7.707905042665824e-05,0.0005584119522201626,expression_only,replication_only,False,replication_only,true_neighbor does not improve over references,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|chemokine|receptor
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,cytokine,pathway_module,4,0,1,195,195,0.9212700285291046,-0.0003438198813730288,9.495908157598373e-05,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|cytokine|pathway_module
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,cytokine,receptor,4,0,1,585,195,0.9705143758298895,-0.004987858324942757,0.0008744135583725232,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|cytokine|receptor
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,death_receptor,pathway_module,4,0,3,195,195,0.9868985283112915,-3.4244790406735335e-05,0.00024906322920199657,expression_only,replication_only,False,replication_only,true_neighbor does not improve over references,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|death_receptor|pathway_module
cosmx_bcc_cp6l_s20000,cosmx_6k_bcc_yerly_2024,test,PatientB:Ulcerated_nodular,Run6057_Patient4_29,Cancer.cells,death_receptor,receptor,4,0,0,195,195,0.8298998327720631,-0.0004618554101400425,-0.0002657942742007477,abstain_uncertain,replication_only,False,replication_only,mixed or underpowered reference evidence,cosmx_bcc_cp6l_s20000|cosmx_6k_bcc_yerly_2024|PatientB:Ulcerated_nodular|Run6057_Patient4_29|Cancer.cells|death_receptor|receptor
