benchmark_run_id,expanded_ladder_case_id,dataset_id,platform,cancer_or_tissue_context,split_id,seed,task_id,synthetic_status,claim_scope,rung_order,artifact_registry_ids,effective_signal_strength,rung_id,signal_family,signal_class,graph_mode,k,radius_um,distance_decay_um,threshold_gate,injected_signal_strength,expected_detectability,noise_fraction,prevalence,localization_scope,expected_route,expected_context_positive,expected_failure_mode,description
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:k3_linear_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,0,h6_expanded_ladder,0.7232363259427333,k3_linear_contact_signal,k_sensitivity,linear_mean_neighbor,knn,3.0,,,,0.72,0.72,0.14,0.42,contact_neighbor_scale,positive_control_only,True,none,Linear contact-scale signal under k=3 neighbors.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:k5_linear_reference_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,1,h6_expanded_ladder,0.8456591727877173,k5_linear_reference_signal,k_sensitivity,linear_mean_neighbor,knn,5.0,,,,0.75,0.84,0.12,0.45,registered_k5_reference,positive_control_only,True,none,Reference linear k=5 signal for H6 compatibility.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:k10_linear_diluted_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,2,h6_expanded_ladder,0.7642505132230583,k10_linear_diluted_signal,k_sensitivity,linear_mean_neighbor,knn,10.0,,,,0.78,0.76,0.16,0.45,broader_knn_scale,positive_control_only,True,none,Broader k=10 signal with mild neighbor dilution.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:radius40_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,3,h6_expanded_ladder,0.715085515239063,radius40_contact_signal,radius_sensitivity,radius_mean_neighbor,radius,,40.0,,,0.7,0.7,0.16,0.38,short_radius_contact,positive_control_only,True,none,Short-radius contact-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:radius120_paracrine_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,4,h6_expanded_ladder,0.7933667080298454,radius120_paracrine_signal,radius_sensitivity,radius_mean_neighbor,radius,,120.0,,,0.78,0.79,0.12,0.5,paracrine_radius,positive_control_only,True,none,Medium-radius paracrine-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:distance_decay_short_range_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,5,h6_expanded_ladder,0.8794797955778147,distance_decay_short_range_signal,distance_decay,distance_weighted_neighbor,distance_decay,8.0,160.0,45.0,,0.8,0.86,0.1,0.48,short_distance_weighted,positive_control_only,True,none,Closer neighbors carry higher synthetic weight.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:threshold_gated_sender_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,6,h6_expanded_ladder,0.7467355798293687,threshold_gated_sender_signal,threshold_gated,threshold_neighbor_activation,knn,5.0,,,0.62,0.82,0.74,0.18,0.35,sender_threshold_high,positive_control_only,True,none,Signal appears only above sender-neighborhood threshold.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:receiver_state_specific_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,7,h6_expanded_ladder,0.8189918788496853,receiver_state_specific_signal,receiver_state_conditioned,state_conditioned_neighbor,knn,5.0,,,,0.76,0.81,0.12,0.28,receiver_state_subset,positive_control_only,True,none,Context helps only in one receiver-state subset.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:rare_niche_local_strong_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,8,h6_expanded_ladder,0.7007629692765798,rare_niche_local_strong_signal,rare_niche,rare_local_neighborhood,knn,5.0,,,,1.0,0.69,0.2,0.08,rare_but_strong_local_niche,positive_control_only,True,none,Low-prevalence but locally strong synthetic niche.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:null_no_context_scale_control,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,9,h6_expanded_ladder,0.012265247477280266,null_no_context_scale_control,null_control,no_neighbor_signal,none,,,,,0.0,0.0,0.0,0.0,none,expression_only,False,none,No injected neighbor signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed0:fov_confounded_positive_trap,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,0,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,10,h6_expanded_ladder,0.8939487755005129,fov_confounded_positive_trap,confounded_trap,sample_or_fov_artifact,confounded,5.0,,,,0.9,0.88,0.05,0.7,fov_or_sample_confound,abstain_uncertain,False,confounded_signal_caught_by_controls,"Signal follows FOV/sample artifact, not true neighbors."
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:k3_linear_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,0,h6_expanded_ladder,0.7205261206628116,k3_linear_contact_signal,k_sensitivity,linear_mean_neighbor,knn,3.0,,,,0.72,0.72,0.14,0.42,contact_neighbor_scale,positive_control_only,True,none,Linear contact-scale signal under k=3 neighbors.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:k5_linear_reference_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,1,h6_expanded_ladder,0.8580755717116584,k5_linear_reference_signal,k_sensitivity,linear_mean_neighbor,knn,5.0,,,,0.75,0.84,0.12,0.45,registered_k5_reference,positive_control_only,True,none,Reference linear k=5 signal for H6 compatibility.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:k10_linear_diluted_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,2,h6_expanded_ladder,0.7791954225160171,k10_linear_diluted_signal,k_sensitivity,linear_mean_neighbor,knn,10.0,,,,0.78,0.76,0.16,0.45,broader_knn_scale,positive_control_only,True,none,Broader k=10 signal with mild neighbor dilution.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:radius40_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,3,h6_expanded_ladder,0.702974443417735,radius40_contact_signal,radius_sensitivity,radius_mean_neighbor,radius,,40.0,,,0.7,0.7,0.16,0.38,short_radius_contact,positive_control_only,True,none,Short-radius contact-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:radius120_paracrine_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,4,h6_expanded_ladder,0.8018801319161152,radius120_paracrine_signal,radius_sensitivity,radius_mean_neighbor,radius,,120.0,,,0.78,0.79,0.12,0.5,paracrine_radius,positive_control_only,True,none,Medium-radius paracrine-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:distance_decay_short_range_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,5,h6_expanded_ladder,0.8768316192731335,distance_decay_short_range_signal,distance_decay,distance_weighted_neighbor,distance_decay,8.0,160.0,45.0,,0.8,0.86,0.1,0.48,short_distance_weighted,positive_control_only,True,none,Closer neighbors carry higher synthetic weight.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:threshold_gated_sender_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,6,h6_expanded_ladder,0.7573756247147395,threshold_gated_sender_signal,threshold_gated,threshold_neighbor_activation,knn,5.0,,,0.62,0.82,0.74,0.18,0.35,sender_threshold_high,positive_control_only,True,none,Signal appears only above sender-neighborhood threshold.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:receiver_state_specific_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,7,h6_expanded_ladder,0.810676062102587,receiver_state_specific_signal,receiver_state_conditioned,state_conditioned_neighbor,knn,5.0,,,,0.76,0.81,0.12,0.28,receiver_state_subset,positive_control_only,True,none,Context helps only in one receiver-state subset.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:rare_niche_local_strong_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,8,h6_expanded_ladder,0.6988272808605868,rare_niche_local_strong_signal,rare_niche,rare_local_neighborhood,knn,5.0,,,,1.0,0.69,0.2,0.08,rare_but_strong_local_niche,positive_control_only,True,none,Low-prevalence but locally strong synthetic niche.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:null_no_context_scale_control,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,9,h6_expanded_ladder,0.00920777035160171,null_no_context_scale_control,null_control,no_neighbor_signal,none,,,,,0.0,0.0,0.0,0.0,none,expression_only,False,none,No injected neighbor signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed1:fov_confounded_positive_trap,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,1,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,10,h6_expanded_ladder,0.8980748698017734,fov_confounded_positive_trap,confounded_trap,sample_or_fov_artifact,confounded,5.0,,,,0.9,0.88,0.05,0.7,fov_or_sample_confound,abstain_uncertain,False,confounded_signal_caught_by_controls,"Signal follows FOV/sample artifact, not true neighbors."
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:k3_linear_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,0,h6_expanded_ladder,0.7331534503058422,k3_linear_contact_signal,k_sensitivity,linear_mean_neighbor,knn,3.0,,,,0.72,0.72,0.14,0.42,contact_neighbor_scale,positive_control_only,True,none,Linear contact-scale signal under k=3 neighbors.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:k5_linear_reference_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,1,h6_expanded_ladder,0.8491627105486492,k5_linear_reference_signal,k_sensitivity,linear_mean_neighbor,knn,5.0,,,,0.75,0.84,0.12,0.45,registered_k5_reference,positive_control_only,True,none,Reference linear k=5 signal for H6 compatibility.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:k10_linear_diluted_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,2,h6_expanded_ladder,0.765197470622416,k10_linear_diluted_signal,k_sensitivity,linear_mean_neighbor,knn,10.0,,,,0.78,0.76,0.16,0.45,broader_knn_scale,positive_control_only,True,none,Broader k=10 signal with mild neighbor dilution.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:radius40_contact_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,3,h6_expanded_ladder,0.7169272301478608,radius40_contact_signal,radius_sensitivity,radius_mean_neighbor,radius,,40.0,,,0.7,0.7,0.16,0.38,short_radius_contact,positive_control_only,True,none,Short-radius contact-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:radius120_paracrine_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,4,h6_expanded_ladder,0.8057942940843744,radius120_paracrine_signal,radius_sensitivity,radius_mean_neighbor,radius,,120.0,,,0.78,0.79,0.12,0.5,paracrine_radius,positive_control_only,True,none,Medium-radius paracrine-like synthetic signal.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:distance_decay_short_range_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,5,h6_expanded_ladder,0.8616005973242225,distance_decay_short_range_signal,distance_decay,distance_weighted_neighbor,distance_decay,8.0,160.0,45.0,,0.8,0.86,0.1,0.48,short_distance_weighted,positive_control_only,True,none,Closer neighbors carry higher synthetic weight.
contextgate_hardening_h6_expanded_ladder,contextgate_hardening_h6_expanded_ladder:gse310352_cosmx_pdac_1k:fov_holdout:seed2:threshold_gated_sender_signal,gse310352_cosmx_pdac_1k,CosMx,pancreatic_cancer,fov_holdout,2,expanded_positive_null_control_ladder,expanded_synthetic_control_only,synthetic_sensitivity_specificity_only,6,h6_expanded_ladder,0.7445762035447583,threshold_gated_sender_signal,threshold_gated,threshold_neighbor_activation,knn,5.0,,,0.62,0.82,0.74,0.18,0.35,sender_threshold_high,positive_control_only,True,none,Signal appears only above sender-neighborhood threshold.
