signal_family,rung_id,graph_mode,k,radius_um,method_id,method_family,sensitivity,recovery_rate,row_count,mean_effective_signal_strength,mean_prevalence
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,cellpack_packed_context_tiny,cellpack_packed_context,0.806479487611465,1.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,contextgate_transparent_router,contextgate_transparent_router,0.9207991460191084,1.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.24341258333333335,0.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,distant_neighbor_control_model,wrong_context_distant_neighbor,0.24341258333333335,0.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.7495464389384289,1.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.7990928778768578,1.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,random_neighbor_control_model,wrong_context_random_neighbor,0.24341258333333335,0.0,12,0.8693304867303614,0.48
distance_decay,distance_decay_short_range_signal,distance_decay,8.0,160.0,spatial_statistics_heuristic,spatial_statistics_heuristic,0.8069330486730361,1.0,12,0.8693304867303614,0.48
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,cellpack_packed_context_tiny,cellpack_packed_context,0.7881906934547217,1.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,contextgate_transparent_router,contextgate_transparent_router,0.890317822424536,1.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.21496325000000002,0.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,distant_neighbor_control_model,wrong_context_distant_neighbor,0.21496325000000002,0.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.7414180859798764,1.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.7828361719597526,1.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,random_neighbor_control_model,wrong_context_random_neighbor,0.21496325000000002,0.0,12,0.7677260747484537,0.45
k_sensitivity,k10_linear_diluted_signal,knn,10.0,,spatial_statistics_heuristic,spatial_statistics_heuristic,0.7967726074748454,1.0,12,0.7677260747484537,0.45
k_sensitivity,k3_linear_contact_signal,knn,3.0,,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,cellpack_packed_context_tiny,cellpack_packed_context,0.7812055063440478,1.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,contextgate_transparent_router,contextgate_transparent_router,0.8786758439067462,1.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.20409741666666667,0.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,distant_neighbor_control_model,wrong_context_distant_neighbor,0.20409741666666667,0.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.7383135583751325,1.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.7766271167502646,1.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,random_neighbor_control_model,wrong_context_random_neighbor,0.20409741666666667,0.0,12,0.728919479689154,0.42
k_sensitivity,k3_linear_contact_signal,knn,3.0,,spatial_statistics_heuristic,spatial_statistics_heuristic,0.54,0.0,12,0.728919479689154,0.42
k_sensitivity,k5_linear_reference_signal,knn,5.0,,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,cellpack_packed_context_tiny,cellpack_packed_context,0.8032270924517948,1.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,contextgate_transparent_router,contextgate_transparent_router,0.915378487419658,1.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.23835333333333333,0.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,distant_neighbor_control_model,wrong_context_distant_neighbor,0.23835333333333333,0.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.7481009299785755,1.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.7962018599571509,1.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,random_neighbor_control_model,wrong_context_random_neighbor,0.23835333333333333,0.0,12,0.8512616247321932,0.45
k_sensitivity,k5_linear_reference_signal,knn,5.0,,spatial_statistics_heuristic,spatial_statistics_heuristic,0.8051261624732193,1.0,12,0.8512616247321932,0.45
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,cellpack_packed_context_tiny,cellpack_packed_context,0.7938833520747216,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,contextgate_transparent_router,contextgate_transparent_router,0.8998055867912028,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.2238185,0.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,distant_neighbor_control_model,wrong_context_distant_neighbor,0.2238185,0.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,ligand_receptor_pathway_heuristic,ligand_receptor_or_pathway_heuristic,0.7439481564776541,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,lightweight_graphsage_aggregation,gnn_style_context_aggregation,0.7878963129553083,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,random_neighbor_control_model,wrong_context_random_neighbor,0.2238185,0.0,12,0.799351955970676,0.5
radius_sensitivity,radius120_paracrine_signal,radius,,120.0,spatial_statistics_heuristic,spatial_statistics_heuristic,0.7999351955970676,1.0,12,0.799351955970676,0.5
radius_sensitivity,radius40_contact_signal,radius,,40.0,always_true_neighbor_mean,always_true_neighbor_context,0.9,1.0,12,0.7075095584761607,0.38000000000000006
radius_sensitivity,radius40_contact_signal,radius,,40.0,cellpack_packed_context_tiny,cellpack_packed_context,0.7773517205257089,1.0,12,0.7075095584761607,0.38000000000000006
radius_sensitivity,radius40_contact_signal,radius,,40.0,contextgate_transparent_router,contextgate_transparent_router,0.8722528675428483,1.0,12,0.7075095584761607,0.38000000000000006
radius_sensitivity,radius40_contact_signal,radius,,40.0,coordinate_shuffled_control_model,wrong_context_coordinate_shuffled,0.19810283333333334,0.0,12,0.7075095584761607,0.38000000000000006
radius_sensitivity,radius40_contact_signal,radius,,40.0,distant_neighbor_control_model,wrong_context_distant_neighbor,0.19810283333333334,0.0,12,0.7075095584761607,0.38000000000000006
radius_sensitivity,radius40_contact_signal,radius,,40.0,expression_only_linear,expression_only_or_center_only,0.0,0.0,12,0.7075095584761607,0.38000000000000006
