step,loss,train_batch_mae_raw,batch_size
1,0.2965553402900696,4.970567226409912,16
2,0.1284019649028778,3.279536008834839,16
3,0.09179118275642395,2.2978432178497314,16
4,0.09354442358016968,2.2341408729553223,16
5,0.08877716213464737,2.2867705821990967,16
6,0.08747755736112595,2.309760093688965,16
7,0.09044695645570755,2.257965326309204,16
8,0.08277171850204468,2.185375452041626,16
9,0.07101890444755554,2.1255855560302734,16
10,0.05445887893438339,1.835022211074829,16
11,0.04131725803017616,1.622155785560608,16
12,0.021608993411064148,1.140541434288025,16
13,0.014331948943436146,1.0021443367004395,16
14,0.009282628074288368,0.8488917350769043,16
15,0.014279358088970184,0.9738612771034241,16
16,0.009686733596026897,0.8084145188331604,16
17,0.010734784416854382,0.8478409647941589,16
18,0.00842551700770855,0.7232666611671448,16
19,0.008557131513953209,0.7334225177764893,16
20,0.0073411124758422375,0.6504622101783752,16
21,0.0036635790020227432,0.517048180103302,16
22,0.006226441822946072,0.6188449263572693,16
23,0.0052226753905415535,0.575242280960083,16
24,0.0038027504924684763,0.48458898067474365,16
25,0.003938719164580107,0.4968282878398895,16
26,0.0024653926957398653,0.4165812134742737,16
27,0.0037943413481116295,0.48339956998825073,16
28,0.004373961593955755,0.5197286009788513,16
29,0.002976747462525964,0.4490484595298767,16
30,0.002469600411131978,0.3734818398952484,16
31,0.0025324246380478144,0.378057599067688,16
32,0.002217479282990098,0.351217657327652,16
33,0.0038801217451691628,0.40197592973709106,16
34,0.003567596897482872,0.389160692691803,16
35,0.002677695360034704,0.36950504779815674,16
36,0.003349889535456896,0.3994632065296173,16
37,0.006553974002599716,0.5197669267654419,16
38,0.006804563570767641,0.46788597106933594,16
39,0.0020922531839460135,0.32836759090423584,16
40,0.0045835720375180244,0.44216227531433105,16
