control_status,expectation_id,sample_accession,section_id,true_beats_wrong,true_context_r2,wrong_context_control,wrong_context_r2
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509134,L1,True,0.03126753209504707,label_shuffled_context,0.00332239024906833
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509134,L1,True,0.03126753209504707,coordinate_shuffled_context,0.0035419261400456703
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509135,L3,True,0.11915894459114917,label_shuffled_context,0.11034419547868057
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509135,L3,True,0.11915894459114917,coordinate_shuffled_context,0.11026660599432803
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509136,L5,True,0.061334777294406506,label_shuffled_context,0.02639366188616421
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509136,L5,True,0.061334777294406506,coordinate_shuffled_context,0.026439374697705076
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509137,L6,True,0.012738781519166076,label_shuffled_context,0.010626048067433502
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509137,L6,True,0.012738781519166076,coordinate_shuffled_context,0.010401817303510863
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509138,L7,True,0.15343223896781388,label_shuffled_context,0.13095482128663805
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509138,L7,True,0.15343223896781388,coordinate_shuffled_context,0.13361685432834858
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509139,L8,True,0.04537775914803144,label_shuffled_context,0.04410245302802962
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509139,L8,True,0.04537775914803144,coordinate_shuffled_context,0.04405217563283104
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509140,L1_1,True,0.061089597238987325,label_shuffled_context,0.036659222563535154
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509140,L1_1,True,0.061089597238987325,coordinate_shuffled_context,0.03682193299481362
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509141,L1_2,True,0.06457826122831556,label_shuffled_context,0.04703797954304356
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509141,L1_2,True,0.06457826122831556,coordinate_shuffled_context,0.04698979931715297
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509142,L2,True,0.08673385672720657,label_shuffled_context,0.08638980395202112
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509142,L2,True,0.08673385672720657,coordinate_shuffled_context,0.08595580239029876
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509143,L3,True,0.22384991330706483,label_shuffled_context,0.20499933074165233
evaluated,h1_pos_gse311609_nsclc_cd274_checkpoint,GSM9509143,L3,True,0.22384991330706483,coordinate_shuffled_context,0.2046095157817749
