stress_run_id,stress_id,stress_family,stress_axis,stress_level,dataset_id,task_id,method_id,control_id,split_id,seed,observed_value,comparator_value,threshold_value,passed,claim_id,claim_downgrade,evidence_pointer,notes
contextgate_bench_v0_cp_q7,stress_885f4940060a70,contextgate_reason_ablation,reason_code,access_or_schema_blocker,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=access_or_schema_blocker; abstention changes from 0.400 to 0.368.
contextgate_bench_v0_cp_q7,stress_1ce8c4d8334f96,contextgate_reason_ablation,reason_code,artifact_or_confound_abstention,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=artifact_or_confound_abstention; abstention changes from 0.400 to 0.394.
contextgate_bench_v0_cp_q7,stress_7c57acd825dd3b,contextgate_reason_ablation,reason_code,insufficient_power_or_uncertainty,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=insufficient_power_or_uncertainty; abstention changes from 0.400 to 0.396.
contextgate_bench_v0_cp_q7,stress_9dbea28893124e,contextgate_reason_ablation,reason_code,panel_or_target_coverage_gap,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=panel_or_target_coverage_gap; abstention changes from 0.400 to 0.412.
contextgate_bench_v0_cp_q7,stress_d9e50ac95ccc18,contextgate_reason_ablation,reason_code,positive_control_only,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=positive_control_only; abstention changes from 0.400 to 0.404.
contextgate_bench_v0_cp_q7,stress_4d5112b6d163a6,contextgate_reason_ablation,reason_code,synthetic_confound_abstention,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=synthetic_confound_abstention; abstention changes from 0.400 to 0.318.
contextgate_bench_v0_cp_q7,stress_a83a34f90b17b2,contextgate_reason_ablation,reason_code,synthetic_context_signal_detected,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=synthetic_context_signal_detected; abstention changes from 0.400 to 0.625.
contextgate_bench_v0_cp_q7,stress_d9a9c44cadddd4,contextgate_reason_ablation,reason_code,synthetic_missing_panel_abstention,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=synthetic_missing_panel_abstention; abstention changes from 0.400 to 0.318.
contextgate_bench_v0_cp_q7,stress_11c0356457090c,contextgate_reason_ablation,reason_code,synthetic_null_rejected,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=synthetic_null_rejected; abstention changes from 0.400 to 0.455.
contextgate_bench_v0_cp_q7,stress_e1a2db07ba2a5b,contextgate_reason_ablation,reason_code,uncertain_default_abstention,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=uncertain_default_abstention; abstention changes from 0.400 to 0.368.
contextgate_bench_v0_cp_q7,stress_7539f4cbd3d64f,contextgate_reason_ablation,reason_code,unreplicated_context_signal,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.05,True,contextgate_reason_code_robustness,none,contextgate_decisions.parquet,Drop reason_code=unreplicated_context_signal; abstention changes from 0.400 to 0.406.
