stress_run_id,stress_id,stress_family,stress_axis,stress_level,dataset_id,task_id,method_id,control_id,split_id,seed,observed_value,comparator_value,threshold_value,passed,claim_id,claim_downgrade,evidence_pointer,notes
contextgate_bench_v0_cp_q7,stress_e68781c6ebbe77,seed_sweep,seed,core,all,all,always_true_neighbor_mean,all,all,all,0.003826086956521646,0.5904927536231884,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for always_true_neighbor_mean/false_positive_context_rate in core tier.
contextgate_bench_v0_cp_q7,stress_e68781c6ebbe77,seed_sweep,seed,core,all,all,always_true_neighbor_mean,all,all,all,0.0005739130434783135,0.43316521739130437,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for always_true_neighbor_mean/no_harm_rate in core tier.
contextgate_bench_v0_cp_q7,stress_e68781c6ebbe77,seed_sweep,seed,core,all,all,always_true_neighbor_mean,all,all,all,0.0014930244378710267,0.9017387120056136,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for always_true_neighbor_mean/regret_against_oracle in core tier.
contextgate_bench_v0_cp_q7,stress_e68781c6ebbe77,seed_sweep,seed,core,all,all,always_true_neighbor_mean,all,all,all,0.4026427489728498,0.23197786283937924,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for always_true_neighbor_mean/replication_rate in core tier.
contextgate_bench_v0_cp_q7,stress_7554053672feb1,seed_sweep,seed,core,all,all,contextgate_transparent_router,all,all,all,0.0,0.0,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for contextgate_transparent_router/false_positive_context_rate in core tier.
contextgate_bench_v0_cp_q7,stress_7554053672feb1,seed_sweep,seed,core,all,all,contextgate_transparent_router,all,all,all,0.0,1.0,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for contextgate_transparent_router/no_harm_rate in core tier.
contextgate_bench_v0_cp_q7,stress_7554053672feb1,seed_sweep,seed,core,all,all,contextgate_transparent_router,all,all,all,0.007898448062716945,0.43773212483574503,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for contextgate_transparent_router/regret_against_oracle in core tier.
contextgate_bench_v0_cp_q7,stress_7554053672feb1,seed_sweep,seed,core,all,all,contextgate_transparent_router,all,all,all,0.06377584067324438,0.5404468363505487,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for contextgate_transparent_router/replication_rate in core tier.
contextgate_bench_v0_cp_q7,stress_f76696a9bb7d76,seed_sweep,seed,core,all,all,coordinate_shuffled_control_model,all,all,all,0.003826086956521646,0.5904927536231884,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for coordinate_shuffled_control_model/false_positive_context_rate in core tier.
contextgate_bench_v0_cp_q7,stress_f76696a9bb7d76,seed_sweep,seed,core,all,all,coordinate_shuffled_control_model,all,all,all,0.0005739130434783135,0.43316521739130437,0.08,True,seed_stability,none,benchmark_metric_matrix.parquet,Seed spread for coordinate_shuffled_control_model/no_harm_rate in core tier.
