stress_run_id,stress_id,stress_family,stress_axis,stress_level,dataset_id,task_id,method_id,control_id,split_id,seed,observed_value,comparator_value,threshold_value,passed,claim_id,claim_downgrade,evidence_pointer,notes
contextgate_bench_v0_cp_q7,stress_feab79502165e0,leave_one_out,dataset_id,cosmx_6k_bcc_yerly_2024,all,all,all,all,all,all,0.0,0.6186691410392364,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=cosmx_6k_bcc_yerly_2024.
contextgate_bench_v0_cp_q7,stress_ddf42fac4f33c3,leave_one_out,dataset_id,cosmx_nsclc_ffpe_v1,all,all,all,all,all,all,0.0,0.6214229249011858,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=cosmx_nsclc_ffpe_v1.
contextgate_bench_v0_cp_q7,stress_9f63d091005c3c,leave_one_out,dataset_id,gse277782_cosmx_pdac_metastasis,all,all,all,all,all,all,0.0,0.6230621118012423,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=gse277782_cosmx_pdac_metastasis.
contextgate_bench_v0_cp_q7,stress_9d375ee41d4818,leave_one_out,dataset_id,gse310352_cosmx_pdac_1k,all,all,all,all,all,all,0.0,0.6186691410392364,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=gse310352_cosmx_pdac_1k.
contextgate_bench_v0_cp_q7,stress_d675350e7a3550,leave_one_out,dataset_id,xenium_breast_biomarkers_v1,all,all,all,all,all,all,0.0,0.6163659961064244,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=xenium_breast_biomarkers_v1.
contextgate_bench_v0_cp_q7,stress_aad453deca97a0,leave_one_out,dataset_id,xenium_breast_v1,all,all,all,all,all,all,0.0,0.6152964426877471,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out dataset_id=xenium_breast_v1.
contextgate_bench_v0_cp_q7,stress_656f3372cc3574,leave_one_out,cancer_or_tissue_context,basal_cell_carcinoma,all,all,all,all,all,all,0.0,0.6186691410392364,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out cancer_or_tissue_context=basal_cell_carcinoma.
contextgate_bench_v0_cp_q7,stress_0e7b3fe9d9ebe0,leave_one_out,cancer_or_tissue_context,breast_cancer,all,all,all,all,all,all,0.0,0.610459392945037,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out cancer_or_tissue_context=breast_cancer.
contextgate_bench_v0_cp_q7,stress_25b8e803e4dd0d,leave_one_out,cancer_or_tissue_context,lung_nsclc,all,all,all,all,all,all,0.0,0.6214229249011858,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out cancer_or_tissue_context=lung_nsclc.
contextgate_bench_v0_cp_q7,stress_821dfaad8fb07e,leave_one_out,cancer_or_tissue_context,pancreatic_cancer,all,all,all,all,all,all,0.0,0.6186691410392364,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out cancer_or_tissue_context=pancreatic_cancer.
contextgate_bench_v0_cp_q7,stress_7b5a2b084190e8,leave_one_out,cancer_or_tissue_context,pancreatic_metastasis,all,all,all,all,all,all,0.0,0.6230621118012423,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out cancer_or_tissue_context=pancreatic_metastasis.
contextgate_bench_v0_cp_q7,stress_66d8f5148803db,leave_one_out,platform,CosMx,all,all,all,all,all,all,0.0,0.6306750572082379,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out platform=CosMx.
contextgate_bench_v0_cp_q7,stress_eeff423b6d8041,leave_one_out,platform,Xenium,all,all,all,all,all,all,0.0,0.610459392945037,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out platform=Xenium.
contextgate_bench_v0_cp_q7,stress_1b7412b0c8f885,leave_one_out,split_id,fov_holdout,all,all,all,all,all,all,0.0,0.6252322556670383,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out split_id=fov_holdout.
contextgate_bench_v0_cp_q7,stress_57a314ca1ce509,leave_one_out,split_id,sample_or_section_holdout,all,all,all,all,all,all,0.0,0.6214574402939377,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out split_id=sample_or_section_holdout.
contextgate_bench_v0_cp_q7,stress_a235138c04759c,leave_one_out,split_id,unit_hash_split,all,all,all,all,all,all,0.0,0.6083892339544514,0.05,True,contextgate_reduces_false_context,none,benchmark_metric_matrix.parquet,Core false-context conclusion after leaving out split_id=unit_hash_split.
