step,loss,train_batch_mae_raw,batch_size
1,0.3008373975753784,5.023083686828613,16
2,0.13111528754234314,3.282273292541504,16
3,0.09396930783987045,2.3270606994628906,16
4,0.0999051183462143,2.21012806892395,16
5,0.08569622784852982,2.284306049346924,16
6,0.09230230748653412,2.2722861766815186,16
7,0.08887182921171188,2.2475762367248535,16
8,0.08219349384307861,2.18925404548645,16
9,0.06519673764705658,2.0098323822021484,16
10,0.04200443997979164,1.5057086944580078,16
11,0.04035557806491852,1.3792989253997803,16
12,0.04032240808010101,1.3214452266693115,16
13,0.028632961213588715,1.2492890357971191,16
14,0.02816765196621418,1.2245088815689087,16
15,0.019003048539161682,0.8980607390403748,16
16,0.022610222920775414,1.0041279792785645,16
17,0.02667159028351307,1.1700712442398071,16
18,0.016683468595147133,0.817604124546051,16
19,0.0192647036164999,0.8769878149032593,16
20,0.015576830133795738,0.8135191202163696,16
21,0.015494421124458313,0.8298648595809937,16
22,0.012669981457293034,0.7060173749923706,16
23,0.011005843989551067,0.6604140400886536,16
24,0.010165550746023655,0.656795859336853,16
25,0.007574139628559351,0.5487219095230103,16
26,0.006448238156735897,0.5474415421485901,16
27,0.005362140014767647,0.5639981031417847,16
28,0.005154876504093409,0.5803969502449036,16
29,0.0045828246511518955,0.5387493968009949,16
30,0.0036523891612887383,0.4787319600582123,16
