benchmark_run_id,dataset_id,task_id,method_id,control_id,split_id,seed,metric_family,metric_name,metric_value,paired_delta_vs_expression,paired_delta_vs_always_context,confidence_low,confidence_high,q_value,runtime_seconds,artifact_registry_ids
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,regret_against_oracle,mean_utility,0.13913043478260875,-0.6739130434782609,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,regret_against_oracle,mean_regret,0.8608695652173914,0.6739130434782609,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,no_harm_rate,no_harm_rate,0.5217391304347826,-0.4782608695652174,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,false_positive_context_rate,false_positive_context_rate,0.4782608695652174,0.4782608695652174,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,abstention_rate,abstention_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,calibration_or_expected_calibration_error,mean_confidence,0.9499999999999997,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,always_true_neighbor_mean,true_neighbor_reference,registered_cp_r2_splits,0,compute_runtime,runtime_seconds_estimate,0.23,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,regret_against_oracle,mean_utility,0.8086956521739131,-0.004347826086956506,0.6695652173913044,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,regret_against_oracle,mean_regret,0.19130434782608696,0.004347826086956506,-0.6695652173913044,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,no_harm_rate,no_harm_rate,1.0,0.0,0.4782608695652174,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,false_positive_context_rate,false_positive_context_rate,0.0,0.0,-0.4782608695652174,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,abstention_rate,abstention_rate,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,calibration_or_expected_calibration_error,mean_confidence,0.5586956521739133,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,cellpack_packed_context_tiny,not_applicable,registered_cp_r2_splits,0,compute_runtime,runtime_seconds_estimate,0.23,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,regret_against_oracle,mean_utility,0.9739130434782608,0.16086956521739132,0.8347826086956524,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,regret_against_oracle,mean_regret,0.02608695652173913,-0.16086956521739132,-0.8347826086956524,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,no_harm_rate,no_harm_rate,1.0,0.0,0.4782608695652174,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,false_positive_context_rate,false_positive_context_rate,0.0,0.0,-0.4782608695652174,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,abstention_rate,abstention_rate,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,calibration_or_expected_calibration_error,mean_confidence,0.9000000000000001,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,contextgate_transparent_router,not_applicable,registered_cp_r2_splits,0,compute_runtime,runtime_seconds_estimate,0.23,0.0,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
contextgate_bench_v0_cp_q2_smoke,multi_dataset_seed_evidence,context_utility_detection,coordinate_shuffled_control_model,coordinate_shuffled_control,registered_cp_r2_splits,0,regret_against_oracle,mean_utility,0.13913043478260875,-0.6739130434782609,0.0,0.0,0.0,1.0,0.23,cp_q2_method_comparison
