baseline_name,eval_scope,bin_id,bin_lower,bin_upper,row_count,accuracy,confidence_mean,ece_contribution
always_expression,all,0,0.0,0.1,0,,,0.0
always_expression,all,1,0.1,0.2,0,,,0.0
always_expression,all,2,0.2,0.3,0,,,0.0
always_expression,all,3,0.3,0.4,0,,,0.0
always_expression,all,4,0.4,0.5,0,,,0.0
always_expression,all,5,0.5,0.6,0,,,0.0
always_expression,all,6,0.6,0.7,0,,,0.0
always_expression,all,7,0.7,0.8,0,,,0.0
always_expression,all,8,0.8,0.9,0,,,0.0
always_expression,all,9,0.9,1.0,23,0.4782608695652174,1.0,0.5217391304347826
always_expression,train_allowed,0,0.0,0.1,0,,,0.0
always_expression,train_allowed,1,0.1,0.2,0,,,0.0
always_expression,train_allowed,2,0.2,0.3,0,,,0.0
always_expression,train_allowed,3,0.3,0.4,0,,,0.0
always_expression,train_allowed,4,0.4,0.5,0,,,0.0
always_expression,train_allowed,5,0.5,0.6,0,,,0.0
always_expression,train_allowed,6,0.6,0.7,0,,,0.0
always_expression,train_allowed,7,0.7,0.8,0,,,0.0
always_expression,train_allowed,8,0.8,0.9,0,,,0.0
always_expression,train_allowed,9,0.9,1.0,6,0.0,1.0,1.0
always_expression,validation_only,0,0.0,0.1,0,,,0.0
always_expression,validation_only,1,0.1,0.2,0,,,0.0
always_expression,validation_only,2,0.2,0.3,0,,,0.0
always_expression,validation_only,3,0.3,0.4,0,,,0.0
always_expression,validation_only,4,0.4,0.5,0,,,0.0
always_expression,validation_only,5,0.5,0.6,0,,,0.0
always_expression,validation_only,6,0.6,0.7,0,,,0.0
always_expression,validation_only,7,0.7,0.8,0,,,0.0
always_expression,validation_only,8,0.8,0.9,0,,,0.0
always_expression,validation_only,9,0.9,1.0,4,0.0,1.0,1.0
always_expression,evaluation_only,0,0.0,0.1,0,,,0.0
always_expression,evaluation_only,1,0.1,0.2,0,,,0.0
always_expression,evaluation_only,2,0.2,0.3,0,,,0.0
always_expression,evaluation_only,3,0.3,0.4,0,,,0.0
always_expression,evaluation_only,4,0.4,0.5,0,,,0.0
always_expression,evaluation_only,5,0.5,0.6,0,,,0.0
always_expression,evaluation_only,6,0.6,0.7,0,,,0.0
always_expression,evaluation_only,7,0.7,0.8,0,,,0.0
always_expression,evaluation_only,8,0.8,0.9,0,,,0.0
always_expression,evaluation_only,9,0.9,1.0,13,0.8461538461538461,1.0,0.15384615384615385
always_full_context,all,0,0.0,0.1,0,,,0.0
always_full_context,all,1,0.1,0.2,0,,,0.0
always_full_context,all,2,0.2,0.3,0,,,0.0
always_full_context,all,3,0.3,0.4,0,,,0.0
always_full_context,all,4,0.4,0.5,0,,,0.0
always_full_context,all,5,0.5,0.6,0,,,0.0
always_full_context,all,6,0.6,0.7,0,,,0.0
always_full_context,all,7,0.7,0.8,0,,,0.0
always_full_context,all,8,0.8,0.9,0,,,0.0
always_full_context,all,9,0.9,1.0,23,0.043478260869565216,1.0,0.9565217391304348
always_full_context,train_allowed,0,0.0,0.1,0,,,0.0
always_full_context,train_allowed,1,0.1,0.2,0,,,0.0
always_full_context,train_allowed,2,0.2,0.3,0,,,0.0
always_full_context,train_allowed,3,0.3,0.4,0,,,0.0
always_full_context,train_allowed,4,0.4,0.5,0,,,0.0
always_full_context,train_allowed,5,0.5,0.6,0,,,0.0
always_full_context,train_allowed,6,0.6,0.7,0,,,0.0
always_full_context,train_allowed,7,0.7,0.8,0,,,0.0
always_full_context,train_allowed,8,0.8,0.9,0,,,0.0
always_full_context,train_allowed,9,0.9,1.0,6,0.16666666666666666,1.0,0.8333333333333334
always_full_context,validation_only,0,0.0,0.1,0,,,0.0
always_full_context,validation_only,1,0.1,0.2,0,,,0.0
always_full_context,validation_only,2,0.2,0.3,0,,,0.0
always_full_context,validation_only,3,0.3,0.4,0,,,0.0
always_full_context,validation_only,4,0.4,0.5,0,,,0.0
always_full_context,validation_only,5,0.5,0.6,0,,,0.0
always_full_context,validation_only,6,0.6,0.7,0,,,0.0
always_full_context,validation_only,7,0.7,0.8,0,,,0.0
always_full_context,validation_only,8,0.8,0.9,0,,,0.0
always_full_context,validation_only,9,0.9,1.0,4,0.0,1.0,1.0
always_full_context,evaluation_only,0,0.0,0.1,0,,,0.0
always_full_context,evaluation_only,1,0.1,0.2,0,,,0.0
always_full_context,evaluation_only,2,0.2,0.3,0,,,0.0
always_full_context,evaluation_only,3,0.3,0.4,0,,,0.0
always_full_context,evaluation_only,4,0.4,0.5,0,,,0.0
always_full_context,evaluation_only,5,0.5,0.6,0,,,0.0
always_full_context,evaluation_only,6,0.6,0.7,0,,,0.0
always_full_context,evaluation_only,7,0.7,0.8,0,,,0.0
always_full_context,evaluation_only,8,0.8,0.9,0,,,0.0
always_full_context,evaluation_only,9,0.9,1.0,13,0.0,1.0,1.0
lr_pathway_heuristic,all,0,0.0,0.1,0,,,0.0
lr_pathway_heuristic,all,1,0.1,0.2,0,,,0.0
lr_pathway_heuristic,all,2,0.2,0.3,0,,,0.0
lr_pathway_heuristic,all,3,0.3,0.4,0,,,0.0
lr_pathway_heuristic,all,4,0.4,0.5,0,,,0.0
lr_pathway_heuristic,all,5,0.5,0.6,0,,,0.0
lr_pathway_heuristic,all,6,0.6,0.7,18,0.6111111111111112,0.6,0.008695652173913099
lr_pathway_heuristic,all,7,0.7,0.8,5,1.0,0.7,0.06521739130434784
lr_pathway_heuristic,all,8,0.8,0.9,0,,,0.0
lr_pathway_heuristic,all,9,0.9,1.0,0,,,0.0
lr_pathway_heuristic,train_allowed,0,0.0,0.1,0,,,0.0
lr_pathway_heuristic,train_allowed,1,0.1,0.2,0,,,0.0
lr_pathway_heuristic,train_allowed,2,0.2,0.3,0,,,0.0
lr_pathway_heuristic,train_allowed,3,0.3,0.4,0,,,0.0
lr_pathway_heuristic,train_allowed,4,0.4,0.5,0,,,0.0
lr_pathway_heuristic,train_allowed,5,0.5,0.6,0,,,0.0
